"Points:0","Points:1","Points:2"
4.20474,0.79258,0
3.04525,0.57862,0
3.98167,0.58792,0
2.82603,0.96026,0
0.7734,-0.17571,0
0.70796,0.96629,0
4.25467,0.62495,0
3.58017,1.05686,0
1.19749,0.18273,0
0.90758,1.12074,0
2.33406,-0.17508,0
4.43822,-0.19002,0
1.66591,0.72652,0
0.9576,1.12918,0
2.21492,0.46413,0
3.18687,-1.18727,0
0.64036,0.1006,0
1.61362,1.16632,0
3.70382,-0.40313,0
2.73273,-0.62657,0
2.07996,0.98865,0
2.68742,0.94169,0
2.58438,-0.23764,0
4.46752,0.03198,0
0.97178,-0.62423,0
1.85203,-0.16917,0
0.58608,-0.88828,0
4.48457,-0.41046,0
3.18769,0.30327,0
1.13548,1.03344,0
2.07817,0.48285,0
0.66312,-0.06172,0
1.66596,-1.08944,0
2.90053,-0.11088,0
1.67173,-0.46245,0
1.82258,0.92991,0
4.39965,-1.0027,0
2.84094,-0.75124,0
0.92141,0.12689,0
3.48003,-1.1961,0
2.96518,0.90537,0
1.07039,-0.57986,0
2.63496,1.09171,0
1.16713,0.95722,0
3.09622,-0.69656,0
2.38455,0.90905,0
2.90657,-1.07097,0
1.51811,0.32189,0
0.66635,-0.48671,0
2.85891,1.0658,0
1.40979,-0.60737,0
0.64793,0.55862,0
2.12121,0.66159,0
2.61831,-0.39435,0
2.46548,0.56891,0
3.07643,0.83235,0
2.04919,0.23805,0
2.32869,-0.8918,0
0.88083,-0.15414,0
2.8248,-1.09202,0
3.88255,-1.09977,0
2.7389,-0.29667,0
4.2087,-0.77204,0
0.68389,-0.00079,0
2.14649,-0.8907,0
3.15005,-0.69092,0
1.089,-0.31321,0
3.44115,-0.53985,0
2.52664,0.59007,0
2.39123,0.97388,0
3.12842,1.12837,0
2.03766,0.71291,0
2.76998,-1.01633,0
3.90077,-0.76512,0
2.64177,0.57264,0
3.01873,-0.34808,0
3.95795,-0.9312,0
4.33103,0.72364,0
3.05279,-0.90413,0
1.25057,0.40893,0
1.08198,-0.7897,0
3.15645,0.22877,0
1.88118,0.6543,0
3.6096,-0.35175,0
0.97666,-0.5336,0
2.7529,-0.11181,0
2.42735,-0.13557,0
1.82261,-1.1149,0
3.3205,0.69097,0
2.16055,-0.05373,0
1.92263,-0.20515,0
1.01438,-0.67572,0
1.15943,0.52529,0
3.60873,0.2633,0
3.63268,-0.78127,0
2.61139,0.24862,0
1.98308,-0.31557,0
2.70501,-1.22766,0
